"Sample","intercept","slope","sd_intercept","sd_Rank","tval_intercept","tval_Rank","pval_intercept","pval_Rank","rsquare","rsquare_adj","F_value","df_num","df_den","Biomol","Species","Site","Slide","Type","SdmWtr","Family","funct_trait","funct_category","funct_process","n"
"AcanQuad_1",0.999862155675434,0.0566690145087076,0.512896421609711,0.0810960448018346,1.94944264289736,0.698788882333083,0.0922432462761492,0.507229304455583,0.0652,-0.0683,0.4883,1,7,"20","AcanQuad","F",529804,"F","F1","Tetraodontiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"ArioFeli_2",-0.177257806229663,0.218215384231686,0.663535137549933,0.0962757966811913,-0.267141551665489,2.26656534408421,0.798305046003802,0.0639686978481333,0.4613,0.3715,5.1373,1,6,"16","ArioFeli","F",529804,"F","F2","Siluriform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"ChaeFabe_1",1.71242881458145,-0.0338321091827643,0.525158850954449,0.0750226929934927,3.26078254507032,-0.450958341174168,0.0310578756867658,0.675385258736626,0.0484,-0.1895,0.2034,1,4,"8","ChaeFabe","F",529804,"F","F3","Perciform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"ChilShoe_1",1.45940922997961,0.00254881972768005,0.40250725411707,0.0658757128485822,3.62579609448515,0.0386913418840507,0.00844487830140721,0.970216820578066,2e-04,-0.1426,0.0015,1,7,"13","ChilShoe","F",529810,"F","F4","Tetraodontiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"ChilShoe_2",1.83255476633352,0.0141649472470369,0.27143662218819,0.0409206104618039,6.75131731142375,0.346156792070802,0.00108226582293989,0.743315179089052,0.0234,-0.1719,0.1198,1,5,"14","ChilShoe","F",529810,"F","F5","Tetraodontiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"GimnMicr_1",0.571077906074566,0.0862280157511618,0.432185846609062,0.0661646748903101,1.32137114288969,1.3032334231841,0.227927750659425,0.233721631727195,0.1953,0.0803,1.6984,1,7,"18","GimnMicr","F",529810,"F","F6","Rajiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"GimnMicr_2",0.288243316359823,0.180606642940353,0.49038742602622,0.0768988841513333,0.587786923281371,2.34862501496027,0.588256578382283,0.0786333781234064,0.5797,0.4746,5.516,1,4,"19","GimnMicr","F",529810,"F","F7","Rajiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"HaemBona",0.542419741886791,0.134124576752042,0.849501606054333,0.123537619193339,0.638515263562784,1.08569824825695,0.55123394127446,0.327161454647331,0.1908,0.0289,1.1787,1,5,"7","HaemBona","F",529810,"F","F8","Perciform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"OpsaBeta_1",1.52372510325907,-0.0129086634099113,0.6440674643954,0.103800870638282,2.36578493324364,-0.12435987608326,0.045545090422892,0.904098326247564,0.0019,-0.1228,0.0155,1,8,"22","OpsaBeta","F",529804,"F","F9","Batrachoidiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"OrthChry_2",1.29329509930993,0.00274638947870069,0.446576834985132,0.0719723737665584,2.89601922444766,0.0381589398122198,0.0200135079698765,0.970496005617017,2e-04,-0.1248,0.0015,1,8,"39","OrthChry","F",529804,"F","F10","Perciform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
